,Date,GOES/STEREO flare,GOES/STEREO flare,GOES/STEREO flare,GOES/STEREO flare,GOES/STEREO flare,SOHO CME,SOHO CME,SOHO CME,SOHO CME,SOHO&STEREO CME,SOHO&STEREO CME,SOHO&STEREO CME,SOHO 55-80 MeV p+,SOHO 55-80 MeV p+,SOHO 55-80 MeV p+,SOHO 55-80 MeV p+,SOHO 55-80 MeV p+,SOHO 55-80 MeV p+,SOHO 55-80 MeV p+,SOHO 55-80 MeV p+,SOHO 55-80 MeV p+,SOHO 55-80 MeV p+,SOHO 55-80 MeV p+,SOHO 55-80 MeV p+,SOHO 55-80 MeV p+,STA/HET 40-100 MeV p+,STA/HET 40-100 MeV p+,STA/HET 40-100 MeV p+,STA/HET 40-100 MeV p+,STA/HET 40-100 MeV p+,STA/HET 40-100 MeV p+,STA/HET 40-100 MeV p+,STA/HET 40-100 MeV p+,STA/HET 40-100 MeV p+,STA/HET 40-100 MeV p+,STA/HET 40-100 MeV p+,STA/HET 40-100 MeV p+,STA/HET 40-100 MeV p+,STA/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,STB/HET 40-100 MeV p+,X-ray,X-ray,ACE/EPAM 0.18-0.31 MeV e-,ACE/EPAM 0.18-0.31 MeV e-,ACE/EPAM 0.18-0.31 MeV e-,ACE/EPAM 0.18-0.31 MeV e-,ACE/EPAM 0.18-0.31 MeV e-,ACE/EPAM 0.18-0.31 MeV e-,ACE/EPAM 0.18-0.31 MeV e-,STA/SEPT 0.165-0.335 MeV e-,STA/SEPT 0.165-0.335 MeV e-,STA/SEPT 0.165-0.335 MeV e-,STA/SEPT 0.165-0.335 MeV e-,STA/SEPT 0.165-0.335 MeV e-,STA/SEPT 0.165-0.335 MeV e-,STA/SEPT 0.165-0.335 MeV e-,STB/SEPT 0.165-0.335 MeV e-,STB/SEPT 0.165-0.335 MeV e-,STB/SEPT 0.165-0.335 MeV e-,STB/SEPT 0.165-0.335 MeV e-,STB/SEPT 0.165-0.335 MeV e-,STB/SEPT 0.165-0.335 MeV e-,STB/SEPT 0.165-0.335 MeV e-,STB/SEPT 0.165-0.335 MeV e-
ID,Date,Onset [UT],Max. dI/dt [UT],Class,Lat. [deg.],Long. [deg.],1st obs. [UT],v [km /s],Width [deg.],PA [deg.],1st obs. [UT],v [km /s],S/C,Onset [UT],delta phi [deg.],Imax [pfu MeV-1],Dur. [h],p+ fluence [cm-2 sr-1],phi_C [deg.],VDA s [AU],VDA t0 Date,VDA t0 + 500 s [UT],R2,TSA L [AU],TSA trel Date,TSA trel + 500 s [UT],Onset Date,Onset [UT],delta phi [deg.],Imax [pfu MeV-1],Rise time [h],Dur. [h],p+ fluence [cm-2 sr-1],phi_C [deg.],VDA s [AU],VDA t0 + 500 s [UT],R2,TSA L [AU],TSA trel Date,TSA trel + 500 s [UT],Onset Date,Onset [UT],delta phi [deg.],Imax [pfu MeV-1],Rise time [h],Dur. [h],p+ fluence [cm-2 sr-1],phi_C [deg.],VDA s [AU],VDA t0 Date,VDA t0 + 500 s [UT],R2,TSA L [AU],TSA trel Date,TSA trel + 500 s [UT],flare max. Date DI/dt,flare max. [UT] DI/dt,Onset [UT],delta phi [deg.],Imax [pfu MeV-1],Rise time [h],TSA L [AU],TSA trel + 500 s [UT],Data type,Onset Date,Onset [UT],delta phi [deg.],Imax [pfu MeV-1],Rise time [h],TSA L [AU],TSA trel + 500 s [UT],Onset Date,Onset [UT],delta phi [deg.],Imax [pfu MeV-1],Rise time [h],TSA L [AU],TSA trel + Date,TSA trel + 500 s [UT]
10,2012 Jan. 23,23/01/12 03:38,23/01/12 03:49,M8.7,N18,W25,23/01/12 04:00,2175,360,halo,23/01/12 03:24,2175,SOHO,,25,0.001,,,-33,,,,,1.12,,,2012 Jan. 23,14:28,-83,0.019,21.2 \pm 0.4,102.7,5000000,-137,,,,1.09,2012 Jan. 23,14:10 \pm 00:26,2012 Jan. 23,06:48,139,0.047,28.9 \pm 0.2,145.6,4800000,60,,,,,1.33,2012 Jan. 23,06:25 \pm 00:12,2012 Jan. 23,03:49,04:02:00,25,18000,4.0 \pm 0.3,1.12,03:58 \pm 00:17,LF,2012 Jan. 23,06:17:00,-83,5800,54.3 \pm 0.9,1.09,06:13 \pm 00:54,,IC,139,2000,,1.33,,
11,2012 Jan. 27,27/01/12 17:37,27/01/12 18:26,X1.7,N27,W71,27/01/12 18:28,2508,360,halo,27/01/12 18:28,2508,SOHO,18:48,71,0.14,,,23,3.26 \pm 0.12,2012 Jan. 27,17:59 \pm 00:10,0.953,1.07,2012 Jan. 27,18:32 \pm 00:11,2012 Jan. 27,21:08,-37,0.06,17.4 \pm 0.2,339.5,25000000,-99,6.91 \pm 0.99,19:23 \pm 00:35,0.86,1.12,2012 Jan. 27,20:50 \pm 00:12,2012 Jan. 29,08:26,-175,0.0033,46.6 \pm 5.5,333.3,1000000,120,,,,,1.25,2012 Jan. 29,08:05 \pm 05:28,2012 Jan. 27,18:26,18:49:00,71,7900,19.0 \pm 0.1,1.07,18:45 \pm 00:05,LF,2012 Jan. 27,20:55:00,-37,IC,,1.12,20:51 \pm 00:08,2012 Jan. 27,03:10:00,-175,270,56.0 \pm 0.2,1.25,2012 Jan. 28,03:04 \pm 00:15
12,2012 Mar. 05,05/03/12 02:30,05/03/12 03:46,X1.1,N16,E54,05/03/12 04:00,1531,360,halo,05/03/12 02:54,1531,SOHO,09:57,-54,0.001,40.2,,-124,,,,,1.18,2012 Mar. 05,09:39 \pm 03:00,,,,,,,,,,,,,,,2012 Mar. 05,06:27,64,0.039,5.0 \pm 0.2,42.9,1900000,-7,14.96 \pm 2.79,2012 Mar. 05,02:03 \pm 02:50,0.828,1.25,2012 Mar. 05,06:06 \pm 00:14,2012 Mar. 05,03:46,,,,,,,,2012 Mar. 05,05:45:00,-163,52,12.0 \pm 0.2,1.11,05:41 \pm 00:09,2012 Mar. 05,05:23:00,64,6500,3.3 \pm 0.3,1.25,2012 Mar. 05,05:17 \pm 00:19
13,2012 Mar. 07,07/03/12 00:02,07/03/12 00:18,X5.4,N17,E27,07/03/12 00:24,2684,360,halo,07/03/12 00:24,2684,SOHO,02:11,-27,0.2,159.7,21000000,-91,3.84 \pm 0.69,2012 Mar. 07,03:09 \pm 00:50,0.637,1.15,2012 Mar. 07,01:53 \pm 00:10,2012 Mar. 07,05:57,-136,0.032,22.4 \pm 0.4,,,146,3.02 \pm 1.70,05:35 \pm 00:50,0.444,1.2,2012 Mar. 07,05:37 \pm 00:26,2012 Mar. 07,01:21,91,3.6,12.8 \pm 0.2,,,17,1.86 \pm 0.05,2012 Mar. 07,00:46 \pm 00:02,0.993,1.27,2012 Mar. 07,00:59 \pm 00:10,2012 Mar. 07,00:18,00:32:00,-27,70000,13.9 \pm 0.1,1.15,00:27 \pm 00:05,LF,2012 Mar. 07,01:30:00,-136,670,30.8 \pm 0.1,1.2,01:25 \pm 00:06,2012 Mar. 07,00:48:00,91,23000,14.0 \pm 0.2,1.27,2012 Mar. 07,00:42 \pm 00:11
14,2012 Mar. 24,Farside,flare (EUVI),,N11,E166,24/03/12 00:24,1152,360,halo,24/03/12 00:24,1417,STEREO-A,,,,,,,,,,,,,,2012 Mar. 24,00:56,84,0.33,1.1 \pm 0.2,202.5,1500000,24,1.53 \pm 0.05,00:38 \pm 00:03,0.988,1.11,2012 Mar. 24,00:38 \pm 00:10,2012 Mar. 24,06:08,-48,0.0072,8.0 \pm 0.5,65.9,530000,-117,11.38 \pm 1.80,2012 Mar. 24,02:13 \pm 01:08,0.852,1.23,2012 Mar. 24,05:47 \pm 00:28,,,,,,,,,,2012 Mar. 24,00:35:00,84,4500,1.2 \pm 0.1,1.11,00:31 \pm 00:05,2012 Mar. 24,03:15:00,-48,260,16.2 \pm 0.2,1.23,2012 Mar. 24,03:09 \pm 00:13
15,2012 May. 17,17/05/12 01:25,17/05/12 01:36,M5.1,N11,W76,17/05/12 01:48,1582,360,halo,17/05/12 01:48,1582,SOHO,01:54,76,0.11,228.6,,6,2.93 \pm 0.17,2012 May. 17,00:48 \pm 00:14,0.893,1.21,2012 May. 17,01:35 \pm 00:10,2012 May. 17,12:28,-39,0.0041,21.3 \pm 0.3,93.7,170000,-78,13.37 \pm 2.96,09:14 \pm 01:46,0.804,1.03,2012 May. 17,12:12 \pm 00:21,,,,,,,,,,,,,,,,2012 May. 17,01:36,01:48:00,76,4500,0.9 \pm 0.1,1.21,01:43 \pm 00:05,LF,2012 May. 17,06:20:00,-39,IC,,1.03,06:17 \pm 00:09,2012 May. 17,03:57:00,-166,13,11.9 \pm 0.2,1.17,2012 May. 17,03:52 \pm 00:11
16,2012 Jul. 08,08/07/12 16:23,08/07/12 16:29,M6.9,S14,W83,08/07/12 16:54,1495,157,212,08/07/12 16:54,1495,SOHO,,83,0.01,,,22,,,,,1.17,,,2012 Jul. 08,18:38,-37,0.012,5.7 \pm 0.6,101.4,540000,-102,10.66 \pm 4.84,15:34 \pm 02:15,0.619,1.14,2012 Jul. 08,18:19 \pm 00:35,,,,,,,,,,,,,,,,2012 Jul. 08,16:29,17:42:00,83,1400,6.0 \pm 0.1,1.17,17:37 \pm 00:05,DE,,BG,,,,1.14,,,,,,,,,
17,2012 Jul. 12,12/07/12 15:37,12/07/12 16:32,X1.4,N13,W15,12/07/12 16:48,885,360,halo,12/07/12 16:48,1508,STEREO-B,,15,0.045,135.1,1900000,-45,,,,,1.16,,,,,,,,,,,,,,,,,2012 Jul. 12,17:35,130,0.025,0.5 \pm 0.2,73.4,460000,57,0.89 \pm 0.08,2012 Jul. 12,17:33 \pm 00:04,0.925,1.24,2012 Jul. 12,17:14 \pm 00:10,2012 Jul. 12,16:32,16:59:00,15,1700,9.9 \pm 0.1,1.16,16:54 \pm 00:05,LF,,BG,,,,,,2012 Jul. 12,17:05:00,130,1200,4.1 \pm 0.1,1.24,2012 Jul. 12,16:59 \pm 00:05
18,2012 Jul. 23,Farside,flare (EUVI),,S23,W137,23/07/12 02:36,2003,360,halo,23/07/12 02:36,3706,STEREO-B,05:57,137,0.045,513.4,2500000,79,2.85 \pm 0.29,2012 Jul. 23,05:39 \pm 00:22,0.841,1.15,2012 Jul. 23,05:39 \pm 00:10,2012 Jul. 23,03:28,16,97,17.3 \pm 0.2,334.1,440000000,-38,1.28 \pm 0.13,03:07 \pm 00:06,0.918,1.09,2012 Jul. 23,03:10 \pm 00:10,2012 Jul. 23,23:34,-108,0.042,63.3 \pm 0.2,355.7,5900000,179,,,,,1.25,2012 Jul. 23,23:13 \pm 00:14,,,05:14:00,137,1900,31.0 \pm 0.2,1.15,05:09 \pm 00:13,DE,,IC,16,1300000,,1.09,,2012 Jul. 23,13:11:00,-108,4300,31.3 \pm 0.2,1.25,2012 Jul. 23,13:05 \pm 00:13
19,2012 Sep. 20,Farside,flare (EUVI),,S11,E159,20/09/12 15:12,1202,360,halo,20/09/12 15:12,2531,STEREO-A,,,,,,,,,,,,,,2012 Sep. 20,16:42,76,0.42,12.8 \pm 0.4,163.3,11000000,16,,,,1.12,2012 Sep. 20,16:24 \pm 00:24,2012 Sep. 20,20:19,-42,0.016,13.6 \pm 0.6,163.5,2200000,-119,,,,,1.33,2012 Sep. 20,19:56 \pm 00:34,,,BG,-159,,,,,,2012 Sep. 20,15:51:00,76,20000,12.5 \pm 0.1,1.12,15:47 \pm 00:05,2012 Sep. 20,15:06:00,-42,39000,65.6 \pm 0.1,1.33,2012 Sep. 20,14:59 \pm 00:06
20,2012 Sep. 28,27/09/12 23:36,27/09/12 23:43,C3.7,N09,W32,28/09/12 00:12,947,360,halo,27/09/12 23:54,1137,STEREO-A,,32,0.005,,,-41,,,,,1.21,,,2012 Sep. 28,07:29,-93,0.015,4.6 \pm 0.2,133.3,5800000,-160,,,,1.16,2012 Sep. 28,07:10 \pm 00:10,2012 Sep. 28,02:38,150,0.018,2.9 \pm 0.2,141.6,430000,84,0.40 \pm 0.14,2012 Sep. 28,02:54 \pm 00:06,0.594,1.27,2012 Sep. 28,02:16 \pm 00:14,2012 Sep. 27,23:43,00:17:00,32,2200,2.0 \pm 0.1,1.21,00:12 \pm 00:05,LF,,BG,,20000,,1.16,,2012 Sep. 28,00:26:00,150,940,5.2 \pm 0.1,1.27,2012 Sep. 28,00:20 \pm 00:08
21,2012 Nov. 08,Farside,flare (EUVI),,S06,W164,08/11/12 11:00,972,360,halo,08/11/12 11:00,1386,STEREO-B,,164,0.0015,,,105,,,,,1.13,,,2012 Nov. 08,11:22,37,0.055,0.5 \pm 0.2,128.4,1800000,-27,1.58 \pm 0.11,11:00 \pm 00:04,0.959,1.14,2012 Nov. 08,11:03 \pm 00:10,,,,,,,,,,,,,,,,,,11:54:00,164,63,11.1 \pm 0.2,1.13,11:49 \pm 00:09,LF,2012 Nov. 08,10:59:00,37,1000,1.9 \pm 0.1,1.14,10:54 \pm 00:05,,BG,,,,,,
22,2013 Mar. 05,Farside,flare (EUVI),,N10,E145,05/03/13 03:48,1316,360,halo,05/03/13 03:48,1316,SOHO,,,,,,,,,,,,,,2013 Mar. 05,03:57,84,2.8,1.5 \pm 0.2,188.2,52000000,14,1.21 \pm 0.06,03:43 \pm 00:03,0.977,1.16,2013 Mar. 05,03:38 \pm 00:10,2013 Mar. 05,07:10,-5,0.024,14.6 \pm 0.2,212.8,3700000,-103,4.12 \pm 0.74,2013 Mar. 05,06:21 \pm 00:29,0.777,1.44,2013 Mar. 05,06:44 \pm 00:10,,,BG,-145,,,,,,2013 Mar. 05,03:43:00,84,20000,6.5 \pm 0.1,1.16,03:38 \pm 00:05,2013 Mar. 05,05:07:00,-5,3800,37.3 \pm 0.1,1.44,2013 Mar. 05,04:59 \pm 00:08
23,2013 Apr. 11,11/04/13 06:55,11/04/13 07:10,M6.5,N09,E12,11/04/13 17:24,861,360,halo,11/04/13 07:24,861,SOHO,08:10,-12,0.09,231.8,3700000,-74,2.03 \pm 0.09,2013 Apr. 11,07:22 \pm 00:07,0.969,1.16,2013 Apr. 11,07:52 \pm 00:10,,,,,,,,,,,,,,,2013 Apr. 11,07:52,130,1,1.4 \pm 0.2,134.7,8600000,54,1.98 \pm 0.13,2013 Apr. 11,07:21 \pm 00:05,0.965,1.27,2013 Apr. 11,07:30 \pm 00:10,2013 Apr. 11,07:10,07:51:00,-12,1600,4.8 \pm 0.1,1.16,07:46 \pm 00:05,LF,2013 Apr. 11,17:27:00,-145,10,63.2 \pm 0.7,1.08,17:23 \pm 00:42,2013 Apr. 11,07:26:00,130,12000,1.5 \pm 0.1,1.27,2013 Apr. 11,07:20 \pm 00:05
24,2013 Apr. 24,Farside,flare (EUVI),,N10,W167,24/04/13 22:12,594,360,halo,24/04/13 22:12,594,SOHO,22:53,167,0.0025,122.3,32000,106,1.33 \pm 0.03,2013 Apr. 24,22:30 \pm 00:04,0.833,1.16,2013 Apr. 24,22:35 \pm 00:10,2013 Apr. 24,23:16,32,0.018,3.8 \pm 0.2,87.9,290000,-20,1.12 \pm 0.51,23:51 \pm 00:22,0.376,1.08,2013 Apr. 24,22:59 \pm 00:10,,,,,,,,,,,,,,,,,,22:29:00,167,110,3.8 \pm 0.1,1.16,22:24 \pm 00:05,DE,2013 Apr. 25,00:02:00,32,540,3.5 \pm 0.3,1.08,23:58 \pm 00:21,,,,,,,,
25,2013 May. 15,15/05/13 01:25,15/05/13 01:42,X1.2,N12,E64,15/05/13 01:48,1366,360,halo,15/05/13 01:48,1366,SOHO,10:19,-64,0.0035,171.5,3100000,-130,3.21 \pm 0.33,2013 May. 15,06:56 \pm 00:28,0.852,1.19,2013 May. 15,10:00 \pm 00:10,,,,,,,,,,,,,,,,BG,,0.0053,,,,26,,,,,,,,2013 May. 15,01:42,10:02:00,-64,7300,12.7 \pm 0.1,1.19,09:57 \pm 00:05,LF,,BG,,,,,,,IC,78,IC,,1.13,,
